raw_name,canonical_name,entity_type,source_url,matched,startup_name
Chinese-LLaMA-Alpaca-2,,PRODUCT,https://github.com/ymcui/Chinese-LLaMA-Alpaca-2,False,ymcui
WantWords,,PRODUCT,https://github.com/thunlp/WantWords,False,thunlp
trafilatura,,PRODUCT,https://github.com/adbar/trafilatura,False,adbar
nlp.js,,PRODUCT,https://github.com/axa-group/nlp.js,False,axa-group
BERT-pytorch,,PRODUCT,https://github.com/codertimo/BERT-pytorch,False,codertimo
ansj_seg,,PRODUCT,https://github.com/NLPchina/ansj_seg,False,NLPchina
nlp-recipes,,PRODUCT,https://github.com/microsoft/nlp-recipes,False,microsoft
argos-translate,,PRODUCT,https://github.com/argosopentech/argos-translate,False,argosopentech
TagUI,,PRODUCT,https://github.com/aisingapore/TagUI,False,aisingapore
tensorflow_cookbook,,PRODUCT,https://github.com/nfmcclure/tensorflow_cookbook,False,nfmcclure
xlnet,,PRODUCT,https://github.com/zihangdai/xlnet,False,zihangdai
Parsr,,PRODUCT,https://github.com/axa-group/Parsr,False,axa-group
sensitive-word,,PRODUCT,https://github.com/houbb/sensitive-word,False,houbb
flashtext,,PRODUCT,https://github.com/vi3k6i5/flashtext,False,vi3k6i5
awesome-pretrained-chinese-nlp-models,,PRODUCT,https://github.com/lonePatient/awesome-pretrained-chinese-nlp-models,False,lonePatient
ltp,,PRODUCT,https://github.com/HIT-SCIR/ltp,False,HIT-SCIR
Bard-API,,PRODUCT,https://github.com/dsdanielpark/Bard-API,False,dsdanielpark
EasyR1,,PRODUCT,https://github.com/hiyouga/EasyR1,False,hiyouga
Synonyms,,PRODUCT,https://github.com/chatopera/Synonyms,False,chatopera
argilla,,PRODUCT,https://github.com/argilla-io/argilla,False,argilla-io
AutoGPTQ,,PRODUCT,https://github.com/AutoGPTQ/AutoGPTQ,False,AutoGPTQ
openmed,,PRODUCT,https://github.com/maziyarpanahi/openmed,False,maziyarpanahi
Huatuo-Llama-Med-Chinese,,PRODUCT,https://github.com/SCIR-HI/Huatuo-Llama-Med-Chinese,False,SCIR-HI
text2vec,,PRODUCT,https://github.com/shibing624/text2vec,False,shibing624
OpenPrompt,,PRODUCT,https://github.com/thunlp/OpenPrompt,False,thunlp
